TimeSinceMark,CurrentStage,AltitudeASL,DownRange,SpeedSurface,SpeedOrbital,Mass,Acceleration,Q,AoA,AoS,AoD,AltitudeTrue,Pitch,GravityLosses,DragLosses,SteeringLosses,DeltaVExpended
0,4,69.9326964064851,0.0199920056238752,0.194302287937423,174.962848511921,17.6124951653183,1.25792063109306,0.00462872644005017,-0.00530959337623606,-0.0158066153935586,0.015683845204804,2.41248102827347,89.9466400146484,0,0,0,0
0.0199999999999818,4,69.9397101142094,0.0219001448999331,0.352095033658542,174.963380381789,17.6051384024322,1.39716187079505,0.0210420893382834,-0.00655580947879652,-0.0161370702952617,0.0176620793077486,2.41383676507394,89.9456176757813,0.00177049224648228,4.87045539898133E-06,0.735465124849124,0.741342697369818
0.2199999999998,4,70.4713301050244,0.0199920056238752,5.45772516632988,175.055182522493,17.5115554146469,3.28007902920977,12.4109621652639,-0.00432344920978906,0.00531430601823932,0,2.62673689422314,89.9312927246094,0.0629164140795402,0.0010046788328161,9.7860308879957,10.0792548014562
0.419999999999618,4,72.4387075728853,0.0154857409677107,13.5520211637367,175.489502499612,17.4080552868545,5.01485640786866,90.0521964475876,-0.00330383527149841,0.00613552371726978,0.00197823410294464,3.90400978068356,89.9349334716797,0.214365114053355,0.00729403772258654,19.3384803789718,20.418959943627
0.619999999999436,4,76.0794214359601,0.0126440545532682,22.0375018647807,176.344272603022,17.3034902624786,5.30835888790095,249.878858624677,-0.00419066803850541,-0.00119232653834726,0.00395646820588927,6.78623081631027,89.9556640625,0.459444560312787,0.0244666829147836,28.5396740159286,30.9239701043407
0.819999999999254,4,81.4280829715077,0.00894069671630859,30.6098905523288,177.618800533038,17.1988099627197,5.36292770572845,492.477939770316,-0.00555950848210944,-0.00856862040686273,0.00197823410294464,11.3649922390608,89.9824371337891,0.797409857779101,0.0583039579887223,37.3033075708773,41.5052197903594
1.01999999999907,4,88.4969329101732,0,39.2323557094748,179.308143451286,17.094116192311,5.38958311469536,818.354549902725,-0.00680099762194643,-0.013458897263539,0.0126888160265525,17.658949117444,89.9901123046875,1.22648720641117,0.114724629699178,45.6255620122768,52.1540216630268
1.21999999999889,4,97.2949232000858,0,47.8962978803362,181.404757968893,16.989423494786,5.41098909773946,1228.05189283073,-0.00742042610299,-0.0156277906271989,0.00559529102365867,25.6781503019878,89.9932464599609,1.74425459256061,0.199801847979776,53.5142181478165,62.8704715362938
1.41999999999871,4,107.829773801554,0.00894069671630859,56.5966160595758,183.898195248955,16.8847302012146,5.42961818418199,1721.90727992853,-0.0076736890769365,-0.0154839972594058,0.0107105819236079,35.4308201809821,90,2.34776212480916,0.319736815251201,60.980981070277,73.655861708866
1.61999999999853,4,120.10821582491,0.00894069671630859,65.328356696511,186.775254425002,16.7800375036895,5.44572040370077,2299.96945026724,-0.00761930246241644,-0.0141663673227595,0,46.9241345914849,90,3.0336265687946,0.480849603423377,68.0398795213591,84.511509652072
1.81999999999834,4,134.135980884789,0,74.0864870543459,190.020541142118,16.6753442101181,5.45925328082891,2961.98018934522,-0.00734313682873863,-0.0118829144367362,0.00873234782066324,60.1642742142384,89.9940673828125,3.79812801319404,0.689560754262213,74.7069189423949,95.4387539703643
2.01999999999816,4,149.917785999167,0,82.8659064472899,193.616500698405,16.570651512593,5.47018111276093,3707.37238469393,-0.00695728093728544,-0.00893981294221098,0,75.1564160291548,89.9980224609375,4.6373077423995,0.952372530162432,80.9996185252305,106.438963123733
2.21999999999798,4,167.45732251734,0,91.6614609213784,197.544126966047,16.4659577421844,5.4784770111355,4535.26899965256,-0.00659970594163952,-0.00647395205271463,0.00791293641177855,91.9047108486144,89.9980224609375,5.54706020218652,1.27585439157659,86.936380825955,117.513522324563
2.4199999999978,4,186.75726306251,0.0154857409677107,100.468183506546,201.783777051747,16.3612650446594,5.48430354924925,5444.50075406611,-0.00601654049877016,-0.00492166445008612,0.00395646820588927,110.41229731706,89.9980224609375,6.52321661934993,1.66592632664512,92.5361580800185,128.663848069252
2.61999999999762,4,207.819462018344,0.0199920056238752,109.283107575724,206.31608536611,16.2565722279251,5.48856086644653,6433.81616605564,-0.00530637925838938,-0.00412779425224849,0.00477587961477397,130.681354536524,89.9940673828125,7.5616314348032,2.12568152864912,97.8181090768472,139.891378618045
2.81999999999744,4,230.645458545943,0.0368634369279533,118.105519329072,211.122931699012,16.1518790535629,5.4923411455291,7502.04041626865,-0.00456901226081019,-0.00452818559494241,0.00197823410294464,152.697446958452,90,8.65825295055587,2.656797668742,102.801107645665,151.197573885641
3.01999999999725,4,255.236762902467,0.0399840112477503,126.935613950072,216.187026477637,16.0471857599914,5.49618289360054,8647.99943463136,-0.00387960339145412,-0.00504510351587748,0.0107105819236079,176.500556389912,89.996044921875,9.80917014640312,3.2602997402148,107.503742260751,162.583920885369
3.21999999999707,4,281.594978975283,0.0528938750901784,135.774057286463,221.492022337175,15.9424930624664,5.50033301584386,9870.49890445129,-0.00320606811561656,-0.00587914771057821,0.00395646820588927,202.054464362058,89.9952239990234,11.0106440514741,3.93695042662535,111.943918487853,174.051931435633
3.41999999999689,4,309.721856709325,0.0543841349807223,144.621550532116,227.022472734133,15.8377998284996,5.50481824233674,11168.2839216915,-0.00257788982937504,-0.00701409397350364,0.00197823410294464,229.388220693257,89.9940673828125,12.259126334774,4.68772016140451,116.138767285883,185.603141678859
